date,price,price
2019-01-01,3.845,169
2019-01-02,3.78,166
2019-01-03,3.78,166
2019-01-04,3.89,171
2019-01-05,3.89,171
2019-01-06,3.935,173
2019-01-07,3.955,174
2019-01-08,3.955,174
2019-01-09,3.955,174
2019-01-10,4.0,176
2019-01-11,4.0,176
2019-01-12,4.09,179
2019-01-13,4.22,185
2019-01-14,4.265,187
2019-01-15,4.22,185
2019-01-16,4.265,187
2019-01-17,4.22,185
2019-01-18,4.18,183
2019-01-19,4.0,176
2019-01-20,4.0,176
2019-01-21,4.0,176
2019-01-22,4.29,188
2019-01-23,3.82,168
2019-01-24,3.78,166
2019-01-25,3.735,164
2019-01-26,3.735,164
2019-01-27,3.665,161
2019-01-28,3.665,161
2019-01-29,3.69,162
2019-01-30,3.69,162
2019-01-31,3.69,162
2019-02-01,3.445,151
2019-02-02,3.22,141
2019-02-03,3.22,141
2019-02-15,2.89,127
2019-02-16,3.0,132
2019-02-17,2.945,129
2019-02-18,2.78,122
2019-02-19,2.78,122
2019-02-20,2.89,127
2019-02-21,2.89,127
2019-02-22,2.89,127
2019-02-23,2.895,127
2019-02-24,2.71,119
2019-02-25,2.78,122
2019-02-26,2.78,122
2019-02-27,2.78,122
2019-02-28,2.89,127
2019-03-01,2.89,127
2019-03-02,3.0,132
2019-03-03,3.0,132
2019-03-04,3.0,132
2019-03-05,2.85,125
2019-03-06,2.89,127
2019-03-07,2.89,127
2019-03-08,2.845,125
2019-03-09,2.845,125
2019-03-10,3.0,132
2019-03-11,3.11,136
2019-03-12,3.11,136
2019-03-13,3.22,141
2019-03-14,3.29,144
2019-03-15,3.29,144
2019-03-16,3.29,144
2019-03-17,3.335,146
2019-03-18,3.445,151
2019-03-19,3.4,149
2019-03-20,3.4,149
2019-03-23,3.4,149
2019-03-24,3.4,149
2019-03-25,3.445,151
2019-03-26,3.445,151
2019-03-27,3.445,151
2019-03-28,3.555,156
2019-03-29,3.6,158
2019-03-30,3.51,154
2019-03-31,3.445,151
2019-04-01,3.445,151
2019-04-02,3.445,151
2019-04-03,3.445,151
2019-04-04,3.335,146
2019-04-05,3.29,144
2019-04-06,3.4,149
2019-04-07,3.555,156
2019-04-08,3.555,156
2019-04-09,3.555,156
2019-04-10,3.555,156
2019-04-11,3.555,156
2019-04-12,3.555,156
2019-04-13,3.555,156
2019-04-14,3.555,156
2019-04-15,3.665,161
2019-04-16,3.82,168
2019-04-17,3.89,171
2019-04-18,3.82,168
2019-04-19,3.82,168
2019-04-20,3.89,171
2019-04-21,3.845,169
2019-04-22,3.89,171
2019-04-23,3.89,171
2019-04-24,3.89,171
2019-04-25,3.955,174
2019-04-26,4.0,176
2019-04-27,4.0,176
2019-04-28,4.0,176
2019-04-29,3.89,171
2019-04-30,3.78,166
2019-05-01,3.78,166
2019-05-02,3.89,171
2019-05-03,4.0,176
2019-05-04,4.0,176
2019-05-05,4.0,176
2019-05-06,4.065,178
2019-05-07,4.065,178
2019-05-08,4.0,176
2019-05-09,4.22,185
2019-05-10,4.29,188
2019-05-11,4.335,190
2019-05-12,4.335,190
2019-05-13,4.29,188
2019-05-14,4.22,185
2019-05-15,4.265,187
2019-05-16,4.265,187
2019-05-17,4.445,195
2019-05-18,4.445,195
2019-05-19,4.445,195
2019-05-20,4.445,195
2019-05-21,4.38,192
2019-05-22,4.265,187
2019-05-23,4.265,187
2019-05-24,4.22,185
2019-05-25,4.265,187
2019-05-26,4.265,187
2019-05-27,4.265,187
2019-05-28,4.11,180
2019-05-29,3.955,174
2019-05-30,3.82,168
2019-05-31,3.89,171
2019-06-01,3.89,171
2019-06-02,3.89,171
2019-06-03,3.89,171
2019-06-04,3.89,171
2019-06-05,3.89,171
2019-06-06,3.78,166
2019-06-07,3.78,166
2019-06-08,3.78,166
2019-06-09,3.78,166
2019-06-10,3.78,166
2019-06-11,3.89,171
2019-06-12,3.955,174
2019-06-13,3.91,172
2019-06-14,3.89,171
2019-06-15,3.88,170
2019-06-16,3.555,156
2019-06-17,3.51,154
2019-06-18,3.6,158
2019-06-19,3.6,158
2019-06-20,3.555,156
2019-06-21,3.555,156
2019-06-22,3.555,156
2019-06-23,3.555,156
2019-06-24,3.555,156
2019-06-25,3.555,156
2019-06-26,3.445,151
2019-06-27,3.555,156
2019-06-28,3.555,156
2019-06-29,3.6,158
2019-06-30,3.6,158
2019-07-01,3.6,158
2019-07-02,3.735,164
2019-07-03,3.89,171
2019-07-04,3.89,171
2019-07-05,4.0,176
2019-07-06,4.11,180
2019-07-07,4.22,185
2019-07-08,4.22,185
2019-07-09,4.335,190
2019-07-10,4.665,205
2019-07-11,4.78,210
2019-07-12,5.0,220
