date,price,price
2014/1/1,4.065,178
2014/1/2,4.11,180
2014/1/3,4.22,185
2014/1/4,4.135,181
2014/1/5,4,176
2014/1/6,4,176
2014/1/7,4,176
2014/1/8,4,176
2014/1/9,4,176
2014/1/10,4,176
2014/1/11,4,176
2014/1/12,4.11,180
2014/1/13,4.11,180
2014/1/14,4.11,180
2014/1/15,4,176
2014/1/16,3.845,169
2014/1/17,3.78,166
2014/1/18,3.78,166
2014/1/19,3.665,161
2014/1/20,3.665,161
2014/1/21,3.78,166
2014/1/22,3.78,166
2014/1/23,3.78,166
2014/1/24,3.78,166
2014/1/25,3.845,169
2014/1/26,3.78,166
2014/1/27,3.78,166
2014/1/28,3.78,166
2014/1/29,3.78,166
2014/1/30,3.78,166
2014/1/31,3.78,166
2014/2/1,3.78,166
2014/2/2,3.78,166
2014/2/3,3.78,166
2014/2/4,3.78,166
2014/2/5,3.78,166
2014/2/6,3.78,166
2014/2/7,3.78,166
2014/2/8,3.78,166
2014/2/9,3.78,166
2014/2/10,3.78,166
2014/2/11,3.22,141
2014/2/12,3.445,151
2014/2/13,3.445,151
2014/2/14,3.445,151
2014/2/15,3.445,151
2014/2/16,3.445,151
2014/2/17,3.445,151
2014/2/18,3.445,151
2014/2/19,3.445,151
2014/2/20,3.445,151
2014/2/21,3.445,151
2014/2/22,3.445,151
2014/2/23,3.445,151
2014/2/24,3.445,151
2014/2/25,3.445,151
2014/2/26,3.555,156
2014/2/27,3.555,156
2014/2/28,3.51,154
2014/3/1,3.51,154
2014/3/2,3.5,154
2014/3/3,3.555,156
2014/3/4,3.78,166
2014/3/5,3.78,166
2014/3/6,3.78,166
2014/3/7,3.78,166
2014/3/8,3.78,166
2014/3/9,3.78,166
2014/3/10,3.89,171
2014/3/11,3.89,171
2014/3/12,3.89,171
2014/3/13,3.89,171
2014/3/14,4,176
2014/4/1,3.955,174
2014/4/2,3.955,174
2014/4/3,4,176
2014/4/4,4,176
2014/4/5,4,176
2014/4/6,4,176
2014/4/7,4,176
2014/4/8,4.11,180
2014/4/9,4.22,185
2014/4/10,4.335,190
2014/4/11,4.445,195
2014/4/12,4.335,190
2014/4/13,4.335,190
2014/4/14,4.335,190
2014/4/15,4.335,190
2014/4/16,4.335,190
2014/4/17,4.29,188
2014/4/18,4.29,188
2014/4/19,4.335,190
2014/4/20,4.555,200
2014/4/21,4.665,205
2014/4/22,4.665,205
2014/4/23,4.62,203
2014/4/24,4.51,198
2014/4/25,4.51,198
2014/4/26,4.51,198
2014/4/27,4.555,200
2014/4/28,4.555,200
2014/4/29,4.555,200
2014/4/30,4.555,200
2014/5/1,4.62,203
2014/5/2,4.665,205
2014/5/3,4.78,210
2014/5/4,4.89,215
2014/5/5,4.845,213
2014/5/6,4.78,210
2014/5/7,4.78,210
2014/5/8,4.89,215
2014/5/9,4.89,215
2014/5/10,4.955,218
2014/5/11,5,220
2014/5/12,5.11,224
2014/5/13,5.11,224
2014/5/14,5.155,226
2014/5/15,5.18,227
2014/5/16,5.18,227
2014/5/17,5.18,227
2014/5/18,5.18,227
2014/5/19,5,220
2014/5/20,5,220
2014/5/21,5,220
2014/5/22,4.955,218
2014/5/23,4.955,218
2014/5/24,4.78,210
2014/5/25,4.71,207
2014/5/26,4.555,200
2014/5/27,4.555,200
2014/5/28,4.445,195
2014/5/29,4.49,197
2014/5/30,4.49,197
2014/5/31,4.445,195
2014/6/1,4.445,195
2014/6/2,4.445,195
2014/6/3,4.335,190
2014/6/4,4.4,193
2014/6/5,4.335,190
2014/6/6,4.335,190
2014/6/7,4.29,188
2014/6/8,4.335,190
2014/6/9,4.335,190
2014/6/10,4.335,190
2014/6/11,4.335,190
2014/6/12,4.335,190
2014/6/13,4.335,190
2014/6/14,4.335,190
2014/6/15,4.335,190
2014/6/16,4.22,185
2014/6/17,4.22,185
2014/6/18,4.22,185
2014/6/19,4.22,185
2014/6/20,4.335,190
2014/6/21,4.335,190
2014/6/22,4.555,200
2014/6/23,4.665,205
2014/6/24,4.555,200
2014/6/25,4.555,200
2014/6/26,4.555,200
2014/6/27,4.555,200
2014/6/28,4.555,200
2014/6/29,4.555,200
2014/6/30,4.555,200
2014/7/1,4.555,200
2014/7/2,4.555,200
2014/7/3,4.555,200
2014/7/4,4.62,203
2014/7/5,4.62,203
2014/7/6,4.665,205
2014/7/7,4.665,205
2014/7/8,4.71,207
2014/7/9,4.71,207
2014/7/10,4.89,215
2014/7/11,4.89,215
2014/7/12,4.935,217
2014/7/13,5,220
2014/7/14,5.065,222
2014/7/15,5.065,222
2014/7/16,5.155,226
2014/7/17,5.155,226
2014/7/18,5.22,229
2014/7/19,5.22,229
2014/7/20,5.22,229
2014/7/21,5.11,224
2014/7/22,5,220
2014/7/23,4.78,210
2014/7/24,4.665,205
2014/7/25,4.665,205
2014/7/26,4.665,205
2014/7/27,4.665,205
2014/7/28,4.89,215
2014/7/29,5.11,224
2014/7/30,5.22,229
2014/7/31,5.22,229
2014/8/1,5.11,224
2014/8/2,5.11,224
2014/8/3,5.22,229
2014/8/4,5.11,224
2014/8/5,5.11,224
2014/8/6,5.11,224
2014/8/7,5.22,229
2014/8/8,5.22,229
2014/8/9,5.335,234
2014/8/10,5.22,229
2014/8/11,5.22,229
2014/8/12,5.335,234
2014/8/13,5.335,234
2014/8/14,5.335,234
2014/8/15,5.4,237
2014/8/16,5.62,247
2014/8/17,5.62,247
2014/8/18,5.555,244
2014/8/19,5.555,244
2014/8/20,5.335,234
2014/8/21,5.335,234
2014/8/22,5.335,234
2014/8/23,5.335,234
2014/8/24,5.555,244
