date,price,price
2017-01-01,2.89,127
2017-01-02,3.0,132
2017-01-03,2.995,131
2017-01-04,2.94,129
2017-01-05,2.89,127
2017-01-06,2.89,127
2017-01-07,2.89,127
2017-01-08,2.89,127
2017-01-09,3.0,132
2017-01-10,3.0,132
2017-01-11,2.925,128
2017-01-12,2.85,125
2017-01-13,2.775,122
2017-01-14,2.72,119
2017-01-15,2.65,116
2017-01-16,2.575,113
2017-01-17,2.665,117
2017-01-18,3.11,136
2017-01-19,3.11,136
2017-01-20,3.11,136
2017-01-21,3.055,134
2017-01-22,2.995,131
2017-01-23,2.92,128
2017-01-24,2.85,125
2017-01-25,2.775,122
2017-01-26,2.7,118
2017-01-27,2.7,118
2017-01-28,2.7,118
2017-01-29,2.7,118
2017-01-30,2.7,118
2017-01-31,2.7,118
2017-02-01,2.7,118
2017-02-02,2.7,118
2017-02-03,2.7,118
2017-02-04,2.7,118
2017-02-05,2.7,118
2017-02-06,2.7,118
2017-02-07,2.7,118
2017-02-08,2.7,118
2017-02-09,2.7,118
2017-02-10,2.65,116
2017-02-11,2.64,116
2017-02-12,2.64,116
2017-02-13,2.575,113
2017-02-14,2.5,110
2017-02-15,2.45,107
2017-02-16,2.45,107
2017-02-17,2.4,105
2017-02-20,2.335,102
2017-02-21,2.335,102
2017-02-22,2.425,106
2017-02-23,2.425,106
2017-02-24,2.375,104
2017-02-26,2.325,102
2017-02-27,2.275,100
2017-02-28,2.225,97
2017-03-01,2.22,97
2017-03-02,2.275,100
2017-03-03,2.335,102
2017-03-04,2.335,102
2017-03-05,2.335,102
2017-03-06,2.29,100
2017-03-07,2.29,100
2017-03-08,2.29,100
2017-03-09,2.38,104
2017-03-10,2.45,107
2017-03-11,2.5,110
2017-03-12,2.5,110
2017-03-13,2.5,110
2017-03-14,2.5,110
2017-03-15,2.45,107
2017-03-16,2.45,107
2017-03-17,2.4,105
2017-03-18,2.4,105
2017-03-19,2.4,105
2017-03-20,2.445,107
2017-03-21,2.445,107
2017-03-22,2.49,109
2017-03-23,2.555,112
2017-03-24,2.555,112
2017-03-25,2.555,112
2017-03-27,2.555,112
2017-03-28,2.61,114
2017-03-29,2.665,117
2017-03-30,2.665,117
2017-03-31,2.61,114
2017-04-01,2.555,112
2017-04-05,2.555,112
2017-04-06,2.555,112
2017-04-07,2.555,112
2017-04-08,2.54,111
2017-04-09,2.5,110
2017-04-10,2.5,110
2017-04-11,2.5,110
2017-04-12,2.45,107
2017-04-13,2.4,105
2017-04-14,2.335,102
2017-04-15,2.385,104
2017-04-16,2.45,107
2017-04-17,2.445,107
2017-04-18,2.445,107
2017-04-19,2.445,107
2017-04-20,2.445,107
2017-04-21,2.38,104
2017-04-22,2.335,102
2017-04-23,2.27,99
2017-04-24,2.27,99
2017-04-25,2.27,99
2017-04-26,2.335,102
2017-04-27,2.275,100
2017-04-28,2.22,97
2017-04-29,2.22,97
2017-04-30,2.22,97
2017-05-01,2.22,97
2017-05-02,2.22,97
2017-05-03,2.22,97
2017-05-04,2.265,99
2017-05-05,2.265,99
2017-05-06,2.29,100
2017-05-08,2.25,99
2017-05-09,2.25,99
2017-05-10,2.2,96
2017-05-11,2.2,96
2017-05-12,2.14,94
2017-05-14,2.11,92
2017-05-15,2.11,92
2017-05-16,2.11,92
2017-05-17,2.11,92
2017-05-18,2.07,91
2017-05-19,2.045,89
2017-05-20,2.05,90
2017-05-21,2.05,90
2017-05-22,2.05,90
2017-05-23,2.05,90
2017-05-24,2.11,92
2017-05-25,2.11,92
2017-05-26,2.11,92
2017-05-27,2.155,94
2017-05-28,2.155,94
2017-05-29,2.1,92
2017-05-30,2.1,92
2017-05-31,2.11,92
2017-06-01,2.155,94
2017-06-02,2.155,94
2017-06-03,2.225,97
2017-06-04,2.225,97
2017-06-05,2.275,100
2017-06-06,2.32,102
2017-06-07,2.335,102
2017-06-08,2.265,99
2017-06-09,2.335,102
2017-06-10,2.38,104
2017-06-11,2.4,105
2017-06-13,2.335,102
2017-06-14,2.335,102
2017-06-15,2.375,104
2017-06-16,2.45,107
2017-06-17,2.5,110
2017-06-18,2.5,110
2017-06-19,2.575,113
2017-06-20,2.65,116
2017-06-21,2.75,121
2017-06-22,2.75,121
2017-06-23,2.85,125
2017-06-24,2.9,127
2017-06-25,3.0,132
2017-06-26,3.0,132
2017-06-27,3.0,132
2017-06-28,3.0,132
2017-06-29,3.11,136
2017-06-30,3.025,133
2017-07-01,3.0,132
2017-07-02,2.94,129
2017-07-03,2.875,126
2017-07-04,2.79,122
2017-07-05,2.715,119
2017-07-06,2.64,116
2017-07-07,2.575,113
2017-07-08,2.675,117
2017-07-09,2.775,122
2017-07-10,2.78,122
2017-07-11,2.78,122
2017-07-12,2.78,122
2017-07-13,2.89,127
2017-07-14,2.825,124
2017-07-15,2.775,122
2017-07-16,2.725,119
2017-07-17,2.65,116
2017-07-18,2.575,113
2017-07-19,2.665,117
2017-07-20,2.765,121
2017-07-21,2.865,126
2017-07-22,2.78,122
2017-07-23,2.78,122
2017-07-24,2.85,125
2017-07-25,2.95,129
2017-07-26,3.05,134
2017-07-27,3.15,138
2017-07-28,3.275,144
2017-07-29,3.33,146
2017-07-30,3.44,151
2017-07-31,3.575,157
2017-08-01,3.7,162
2017-08-02,3.6,158
2017-08-03,3.6,158
2017-08-04,3.555,156
2017-08-05,3.61,158
2017-08-06,3.75,165
2017-08-07,3.78,166
2017-08-08,3.78,166
2017-08-09,3.78,166
2017-08-10,3.89,171
2017-08-11,4.0,176
2017-08-12,4.11,180
2017-08-13,4.11,180
2017-08-14,4.01,176
2017-08-15,3.89,171
2017-08-16,4.0,176
2017-08-17,4.0,176
2017-08-18,4.11,180
2017-08-19,4.11,180
2017-08-20,4.11,180
2017-08-21,4.22,185
2017-08-22,4.22,185
2017-08-23,4.22,185
2017-08-24,4.11,180
2017-08-25,4.11,180
2017-08-26,4.11,180
2017-08-27,4.0,176
2017-08-28,4.0,176
2017-08-29,4.11,180
2017-08-30,4.225,185
2017-08-31,4.335,190
2017-09-01,4.445,195
2017-09-02,4.335,190
2017-09-03,4.4,193
2017-09-04,4.445,195
2017-09-05,4.6,202
2017-09-06,4.6,202
2017-09-07,4.6,202
2017-09-08,4.62,203
2017-09-09,4.665,205
2017-09-10,4.555,200
2017-09-11,4.555,200
2017-09-12,4.555,200
2017-09-13,4.445,195
2017-09-14,4.445,195
2017-09-15,4.445,195
2017-09-16,4.445,195
2017-09-17,4.445,195
2017-09-18,4.325,190
2017-09-19,4.2,184
2017-09-20,4.075,179
2017-09-21,3.975,174
2017-09-22,4.0,176
2017-09-23,3.89,171
2017-09-24,3.775,166
2017-09-25,3.665,161
2017-09-26,3.665,161
2017-09-27,3.665,161
2017-09-28,3.665,161
2017-09-29,3.665,161
2017-09-30,3.665,161
2017-10-01,3.665,161
2017-10-02,3.665,161
2017-10-03,3.575,157
2017-10-04,3.555,156
2017-10-05,3.555,156
2017-10-06,3.475,152
2017-10-07,3.425,150
2017-10-08,3.445,151
2017-10-09,3.445,151
2017-10-10,3.445,151
2017-10-11,3.555,156
2017-10-12,3.54,155
2017-10-13,3.445,151
2017-10-14,3.38,148
2017-10-15,3.445,151
2017-10-16,3.555,156
2017-10-17,3.51,154
2017-10-18,3.51,154
2017-10-19,3.555,156
2017-10-20,3.665,161
2017-10-21,3.78,166
2017-10-22,3.78,166
2017-10-23,3.78,166
2017-10-24,3.7,162
2017-10-25,3.665,161
2017-10-26,3.78,166
2017-10-27,3.78,166
2017-10-28,3.78,166
2017-10-29,3.78,166
2017-10-30,3.78,166
2017-10-31,3.78,166
2017-11-01,3.78,166
2017-11-02,3.78,166
2017-11-03,3.735,164
2017-11-04,3.78,166
2017-11-05,3.78,166
2017-11-06,3.78,166
2017-11-07,3.735,164
2017-11-08,3.845,169
2017-11-09,3.89,171
2017-11-10,3.955,174
2017-11-11,3.955,174
2017-11-12,3.89,171
2017-11-13,3.955,174
2017-11-14,3.955,174
2017-11-15,3.955,174
2017-11-16,4.0,176
2017-11-17,3.955,174
2017-11-18,3.955,174
2017-11-20,3.955,174
2017-11-21,3.955,174
2017-11-22,4.11,180
2017-11-23,4.22,185
2017-11-24,4.29,188
2017-11-25,4.22,185
2017-11-26,4.22,185
2017-11-27,4.22,185
2017-11-28,4.22,185
2017-11-29,4.335,190
2017-11-30,4.335,190
2017-12-01,4.4,193
2017-12-02,4.4,193
2017-12-03,4.335,190
2017-12-04,4.38,192
2017-12-05,4.38,192
2017-12-06,4.335,190
2017-12-07,4.335,190
2017-12-08,4.445,195
2017-12-09,4.445,195
2017-12-11,4.335,190
2017-12-12,4.22,185
2017-12-13,4.11,180
2017-12-14,4.0,176
2017-12-15,4.0,176
2017-12-16,4.11,180
2017-12-17,4.22,185
2017-12-18,4.335,190
2017-12-19,4.335,190
2017-12-20,4.22,185
2017-12-21,4.22,185
2017-12-22,4.22,185
2017-12-23,4.335,190
2017-12-24,4.335,190
2017-12-25,4.38,192
2017-12-26,4.38,192
2017-12-27,4.38,192
2017-12-28,4.38,192
2017-12-29,4.38,192
2017-12-30,4.38,192
2017-12-31,4.38,192
