symbol,name,current,chg,percent,last_close,open,high,low,volume,amount,market_capital,pe_ttm,high52w,low52w,hasexist
SH600094,大名城,4.37,0.08,1.86,4.29,4.3,4.45,4.3,17250201.0,75805373.0,10817170499.09,13.344,7.43,3.35,false
SH600095,哈高科,4.48,-0.02,-0.44,4.5,4.43,4.62,4.42,14177430.0,63935560.0,1618460771.2,133.287,7.59,3.22,false
SH600096,云天化,6.29,-0.02,-0.32,6.31,6.32,6.43,6.23,9567569.0,60369861.0,8980075360.02,34.044,7.75,4.25,false
SH600097,开创国际,11.79,-0.25,-2.08,12.04,12.06,12.1,11.71,3015992.0,35943592.0,2840642030.61,13.051,15.64,8.51,false
SH600098,广州发展,6.19,-0.02,-0.32,6.21,6.19,6.29,6.16,9011728.0,56070764.0,16875156694.02,23.102,7.13,5.08,false
SH600099,林海股份,6.5,0.0,0.0,6.5,6.46,6.61,6.4,4227151.0,27533293.0,1424280000.0,None,11.19,4.9,false
SH600100,同方股份,10.2,0.0,0.0,10.2,10.24,10.44,10.06,16981775.0,174202327.0,30231769300.2,None,11.65,7.84,false
SH600101,明星电力,8.0,0.02,0.25,7.98,7.96,8.06,7.91,7073980.0,56539702.0,2593431816.0,25.726,9.03,6.11,false
SH600103,青山纸业,3.1,0.07,2.31,3.03,3.02,3.19,3.0,37052104.0,115492009.0,5498488615.5,31.097,4.01,2.34,false
SH600104,上汽集团,28.29,-0.16,-0.56,28.45,28.3,28.58,28.08,28448984.0,804309164.0,330525122015.85,8.827,35.83,24.13,false
SH600105,永鼎股份,5.33,-0.09,-1.66,5.42,5.33,5.54,5.28,41281665.0,222188460.0,6678434141.6,29.06,5.88,2.85,false
SH600106,重庆路桥,3.59,0.14,4.06,3.45,3.47,3.68,3.46,47746653.0,169686545.0,3943140473.8,14.887,4.08,2.77,false
SH600107,美尔雅,7.76,0.26,3.47,7.5,7.42,8.05,7.38,30931602.0,236900602.0,2793600000.0,395.615,13.15,3.96,false
SH600108,亚盛集团,3.11,-0.05,-1.58,3.16,3.12,3.17,3.08,40331699.0,126043897.0,6054906026.31,61.327,4.18,2.44,false
SH600109,国金证券,10.07,-0.09,-0.89,10.16,10.16,10.49,9.88,91189185.0,926767839.0,30455298251.7,29.483,10.93,5.74,false
SH600110,诺德股份,4.69,-0.12,-2.49,4.81,4.79,4.87,4.63,35066924.0,166928213.0,5394963734.93,61.822,9.28,3.56,false
SH600111,北方稀土,10.96,-0.32,-2.84,11.28,10.95,11.28,10.75,140994556.0,1552540888.0,39818403360.0,92.255,14.16,8.51,false
SH600112,天成控股,4.63,-0.11,-2.32,4.74,4.8,5.1,4.54,88077271.0,430635887.0,2357618436.98,27.965,5.58,2.9,false
SH600114,东睦股份,7.3,-0.2,-2.67,7.5,7.51,7.56,7.26,14278423.0,105897843.0,4712484931.3,13.894,11.56,5.91,false
SH600115,东方航空,6.02,0.07,1.18,5.95,5.92,6.11,5.87,86020382.0,514930173.0,87094865805.64,29.756,8.28,4.4,false
SH600116,三峡水利,9.32,0.4,4.48,8.92,9.01,9.61,8.85,31798428.0,293452360.0,9254811278.64,29.013,9.61,6.1,false
SH600117,西宁特钢,3.98,-0.13,-3.16,4.11,4.07,4.13,3.93,43611490.0,175258612.0,4159570642.96,None,6.0,3.07,false
SH600118,中国卫星,22.72,0.99,4.56,21.73,21.51,23.09,21.51,33571774.0,761339559.0,26866153147.2,63.543,25.39,14.83,false
SH600119,长江投资,7.08,0.02,0.28,7.06,7.06,7.19,7.0,10908294.0,77391567.0,2176392000.0,None,14.07,5.28,false
SH600120,浙江东方,16.18,0.52,3.32,15.66,16.27,16.92,15.88,32058757.0,524796472.0,14147599328.56,20.292,19.46,10.73,false
