date,open,high,low,close,vol
2017-10-09,53310.000,53530.000,52090.000,53360.000,124
2017-10-10,53200.000,53440.000,52950.000,53000.000,250
2017-10-11,52980.000,53460.000,52820.000,53460.000,376
2017-10-12,53320.000,54490.000,53310.000,54340.000,816
2017-10-13,54420.000,54640.000,54230.000,54450.000,592
2017-10-16,54330.000,56980.000,54190.000,56590.000,1206
2017-10-17,56880.000,57570.000,56550.000,56660.000,400
2017-10-18,56710.000,56780.000,56000.000,56270.000,258
2017-10-19,56180.000,56390.000,55970.000,56170.000,200
2017-10-20,55870.000,56870.000,55700.000,56730.000,180
2017-10-23,56550.000,56620.000,55630.000,56000.000,216
2017-10-24,56170.000,57120.000,56110.000,56810.000,228
2017-10-25,56840.000,56840.000,55420.000,55690.000,824
2017-10-26,55910.000,56150.000,55840.000,55880.000,236
2017-10-27,55930.000,55950.000,55100.000,55120.000,298
2017-10-30,55020.000,55020.000,54520.000,54790.000,182
2017-10-31,54760.000,55200.000,54560.000,55200.000,198
2017-11-01,54720.000,55810.000,54580.000,55650.000,290
2017-11-02,55450.000,55530.000,54960.000,55090.000,288
2017-11-03,55010.000,55830.000,55010.000,55500.000,126
2017-11-06,55360.000,55860.000,55010.000,55860.000,106
2017-11-07,55860.000,55990.000,55630.000,55750.000,72
2017-11-08,55480.000,55480.000,54620.000,54640.000,310
2017-11-09,54820.000,55110.000,54400.000,54480.000,206
2017-11-10,54510.000,55000.000,54500.000,54950.000,178
2017-11-13,54750.000,55170.000,54660.000,55020.000,710
2017-11-14,54780.000,56860.000,54650.000,55470.000,33298
2017-11-15,55540.000,55540.000,54000.000,54180.000,1128
2017-11-16,54270.000,54510.000,53970.000,54210.000,1448
2017-11-17,54340.000,54520.000,54080.000,54300.000,610
2017-11-20,54120.000,54830.000,54060.000,54350.000,606
2017-11-21,54470.000,54990.000,54350.000,54780.000,500
2017-11-22,54980.000,55590.000,54980.000,55470.000,696
2017-11-23,55310.000,55620.000,55230.000,55230.000,290
2017-11-24,55340.000,55740.000,55340.000,55720.000,312
2017-11-27,55740.000,56000.000,55160.000,55160.000,784
2017-11-28,55190.000,55320.000,54540.000,54730.000,468
2017-11-29,54530.000,54680.000,54330.000,54550.000,510
2017-11-30,54260.000,54350.000,53670.000,54080.000,1028
2017-12-01,54200.000,54270.000,53900.000,54160.000,150
2017-12-04,54160.000,54880.000,54040.000,54750.000,180
2017-12-05,54660.000,54670.000,53700.000,53700.000,422
2017-12-06,53300.000,53330.000,52220.000,52460.000,954
2017-12-07,52500.000,52800.000,52330.000,52420.000,258
2017-12-08,52480.000,52920.000,52350.000,52840.000,178
2017-12-11,52720.000,52950.000,52410.000,52420.000,218
2017-12-12,52540.000,53260.000,52540.000,53200.000,74
2017-12-13,53250.000,53530.000,53030.000,53440.000,478
2017-12-14,53440.000,53770.000,53300.000,53370.000,408
2017-12-15,53800.000,54050.000,53690.000,54010.000,88
2017-12-18,54200.000,54880.000,54180.000,54700.000,92
2017-12-19,54680.000,54760.000,54430.000,54450.000,74
2017-12-20,54590.000,54990.000,54590.000,54740.000,32
2017-12-21,54960.000,55640.000,54960.000,55330.000,206
2017-12-22,55450.000,55660.000,55220.000,55520.000,124
2017-12-25,55750.000,56260.000,55710.000,55820.000,366
2017-12-26,55730.000,56360.000,55610.000,56360.000,332
2017-12-27,56520.000,56520.000,56010.000,56050.000,270
2017-12-28,56150.000,56950.000,56150.000,56840.000,436
2017-12-29,56730.000,56900.000,56400.000,56500.000,226
2018-01-02,56510.000,56650.000,56010.000,56350.000,158
2018-01-03,56100.000,56260.000,55770.000,55910.000,956
2018-01-04,55880.000,56350.000,55680.000,56300.000,1052
2018-01-05,56420.000,56420.000,55800.000,55890.000,474
2018-01-08,55600.000,55760.000,55430.000,55570.000,626
2018-01-09,55710.000,56020.000,55600.000,55960.000,72
2018-01-10,56090.000,56090.000,55730.000,55750.000,88
2018-01-11,56230.000,56230.000,55900.000,56040.000,216
2018-01-12,55940.000,55940.000,55260.000,55730.000,122
2018-01-15,55510.000,56020.000,55340.000,55950.000,192
2018-01-16,55910.000,55910.000,55150.000,55210.000,114
2018-01-17,54850.000,54970.000,54560.000,54560.000,396
2018-01-18,54650.000,54850.000,54430.000,54620.000,462
2018-01-19,54660.000,54760.000,54480.000,54690.000,304
2018-01-22,54680.000,54850.000,54280.000,54810.000,382
2018-01-23,54680.000,54980.000,54410.000,54680.000,5202
2018-01-24,54200.000,54200.000,53590.000,53680.000,1430
2018-01-25,53800.000,55790.000,53770.000,54860.000,16022
2018-01-26,54790.000,54870.000,54330.000,54430.000,6398
2018-01-29,54350.000,54780.000,54140.000,54620.000,5324
2018-01-30,54450.000,54560.000,53870.000,53930.000,720
2018-01-31,54050.000,54300.000,53910.000,54260.000,404
2018-02-01,54280.000,54400.000,53970.000,54010.000,332
2018-02-02,53970.000,54670.000,53890.000,54560.000,284
2018-02-05,54340.000,54340.000,53880.000,54080.000,256
2018-02-06,54070.000,54830.000,53660.000,53810.000,1060
2018-02-07,53930.000,54240.000,53580.000,53730.000,552
2018-02-08,53600.000,53600.000,52700.000,53040.000,1750
2018-02-09,53020.000,53080.000,52370.000,52490.000,736
2018-02-12,52240.000,52770.000,51840.000,52610.000,836
2018-02-13,52660.000,53280.000,52490.000,53110.000,2196
2018-02-14,53270.000,53780.000,53210.000,53650.000,484
2018-02-22,53670.000,54010.000,53550.000,53740.000,586
2018-02-23,53850.000,54950.000,53820.000,54620.000,7570
2018-02-26,54470.000,54800.000,54260.000,54620.000,3056
2018-02-27,54550.000,54590.000,54130.000,54350.000,1512
2018-02-28,54200.000,54200.000,53460.000,53550.000,2110
2018-03-01,53600.000,53630.000,53100.000,53260.000,980
2018-03-02,52940.000,53450.000,52900.000,53350.000,1090
2018-03-05,53200.000,53310.000,52820.000,52920.000,1134
2018-03-06,52800.000,53470.000,52610.000,53390.000,2048
2018-03-07,53440.000,53640.000,53180.000,53240.000,1152
2018-03-08,53040.000,53200.000,52730.000,52790.000,1324
2018-03-09,52550.000,52700.000,51870.000,51980.000,2402
2018-03-12,52250.000,53350.000,52250.000,52710.000,2140
2018-03-13,52780.000,53000.000,52580.000,52590.000,1764
2018-03-14,52880.000,53300.000,52730.000,53160.000,1168
2018-03-15,53500.000,53550.000,52830.000,53000.000,1524
2018-03-16,52690.000,53190.000,52620.000,52950.000,1372
2018-03-19,52750.000,52990.000,52020.000,52230.000,5746
2018-03-20,52250.000,52430.000,51920.000,52250.000,1384
2018-03-21,52110.000,52130.000,51260.000,51380.000,4470
2018-03-22,51280.000,52200.000,51190.000,51950.000,5518
2018-03-23,51710.000,51760.000,50380.000,50700.000,5220
2018-03-26,50870.000,50920.000,49400.000,49520.000,12810
2018-03-27,49410.000,50540.000,49380.000,50320.000,5158
2018-03-28,50200.000,50400.000,49890.000,49920.000,2818
2018-03-29,50220.000,50710.000,49860.000,50500.000,6800
2018-03-30,50590.000,50980.000,50430.000,50900.000,3050
2018-04-02,50890.000,51270.000,50790.000,51090.000,2788
2018-04-03,51060.000,51310.000,50820.000,50990.000,6724
2018-04-04,51080.000,51170.000,50830.000,50900.000,4954
2018-04-09,50720.000,51320.000,50690.000,51310.000,4910
2018-04-10,51220.000,51870.000,51010.000,51610.000,4506
2018-04-11,51880.000,52050.000,51420.000,51620.000,5038
2018-04-12,51710.000,51890.000,50830.000,51200.000,7576
2018-04-13,50990.000,51160.000,50650.000,51040.000,5992
2018-04-16,51090.000,51240.000,50600.000,51020.000,5876
2018-04-17,51080.000,51540.000,51050.000,51360.000,3956
2018-04-18,51150.000,51880.000,50970.000,51670.000,6466
2018-04-19,52010.000,52880.000,52010.000,52480.000,18986
2018-04-20,52100.000,52220.000,51730.000,51930.000,7956
2018-04-23,52070.000,52580.000,51960.000,52430.000,4576
2018-04-24,51500.000,52380.000,51380.000,52060.000,7404
2018-04-25,52560.000,52600.000,52050.000,52080.000,7362
2018-04-26,52370.000,52420.000,51910.000,52090.000,8920
2018-04-27,51950.000,52300.000,51940.000,52110.000,8366
2018-05-02,51540.000,51750.000,51250.000,51700.000,9626
2018-05-03,51560.000,51650.000,51390.000,51570.000,8264
2018-05-04,51780.000,51890.000,51350.000,51830.000,9920
2018-05-07,51600.000,51790.000,51480.000,51680.000,8580
2018-05-08,51980.000,52050.000,51600.000,51720.000,6958
2018-05-09,51210.000,51460.000,50820.000,51240.000,14886
2018-05-10,51380.000,51660.000,51280.000,51460.000,10442
2018-05-11,51930.000,52000.000,51710.000,51770.000,12236
2018-05-14,51880.000,52100.000,51820.000,51940.000,14168
2018-05-15,51680.000,51840.000,51430.000,51580.000,11098
2018-05-16,51320.000,51550.000,51050.000,51420.000,14894
2018-05-17,51420.000,51630.000,51240.000,51420.000,10278
2018-05-18,51490.000,51720.000,51420.000,51660.000,9560
2018-05-21,51560.000,51900.000,51340.000,51760.000,25202
2018-05-22,52050.000,52060.000,51770.000,51820.000,11300
2018-05-23,52230.000,52550.000,52000.000,52150.000,26590
2018-05-24,51830.000,51830.000,51620.000,51780.000,21626
2018-05-25,51800.000,52010.000,51680.000,51850.000,20112
2018-05-28,51830.000,51950.000,51620.000,51930.000,19860
2018-05-29,51700.000,52170.000,51630.000,52070.000,28786
2018-05-30,52070.000,52300.000,51060.000,51090.000,75248
2018-05-31,51190.000,51800.000,51180.000,51690.000,29416
2018-06-01,51550.000,51890.000,51330.000,51780.000,26138
2018-06-04,51990.000,52670.000,51790.000,52120.000,33518
2018-06-05,52360.000,52660.000,52230.000,52660.000,27702
2018-06-06,52700.000,53590.000,52700.000,53520.000,54034
2018-06-07,53780.000,54550.000,53620.000,54380.000,60690
2018-06-08,54570.000,54770.000,53880.000,53980.000,57946
2018-06-11,54280.000,54680.000,54210.000,54370.000,48224
2018-06-12,54190.000,54390.000,53930.000,54150.000,37132
2018-06-13,54150.000,54210.000,53620.000,53750.000,30554
2018-06-14,53900.000,54250.000,53710.000,53810.000,41828
2018-06-15,53660.000,53910.000,53440.000,53850.000,38198
2018-06-19,52880.000,53100.000,51780.000,51840.000,78598
2018-06-20,51710.000,52220.000,51670.000,52120.000,46496
2018-06-21,51910.000,52140.000,51610.000,51950.000,47398
2018-06-22,51980.000,52040.000,51740.000,52020.000,46120
2018-06-25,51960.000,52290.000,51810.000,51830.000,54598
2018-06-26,51920.000,51960.000,51480.000,51790.000,59842
2018-06-27,51700.000,51930.000,51620.000,51640.000,62566
2018-06-28,51620.000,52230.000,51580.000,51820.000,82712
2018-06-29,51550.000,51960.000,51250.000,51830.000,104716
2018-07-02,51700.000,51700.000,51130.000,51400.000,101530
2018-07-03,51550.000,51740.000,51200.000,51610.000,108982
2018-07-04,51380.000,51500.000,50100.000,50240.000,205534
2018-07-05,50190.000,50310.000,49300.000,49430.000,280700
2018-07-06,49550.000,49770.000,48640.000,49160.000,313860
2018-07-09,49100.000,50080.000,48830.000,49990.000,285956
2018-07-10,49700.000,50000.000,49580.000,49760.000,209834
2018-07-11,49570.000,49750.000,47520.000,48120.000,541382
2018-07-12,48250.000,49170.000,47780.000,49000.000,450502
2018-07-13,48770.000,49010.000,48580.000,48720.000,275076
2018-07-16,48850.000,49300.000,48720.000,48720.000,296012
2018-07-17,48700.000,49160.000,48510.000,48810.000,295984
2018-07-18,48660.000,48800.000,48130.000,48260.000,330832
2018-07-19,48180.000,49150.000,48170.000,48670.000,398280
2018-07-20,48150.000,48740.000,48010.000,48590.000,396008
2018-07-23,48650.000,49170.000,48600.000,49020.000,358224
2018-07-24,49190.000,49500.000,48940.000,49310.000,280694
2018-07-25,49690.000,50270.000,49670.000,49910.000,380778
2018-07-26,49910.000,50290.000,49750.000,50140.000,281736
2018-07-27,49980.000,50240.000,49840.000,50090.000,234256
2018-07-30,50130.000,50400.000,49320.000,49360.000,296308
2018-07-31,49730.000,50010.000,49540.000,49830.000,230464
2018-08-01,49800.000,50200.000,49590.000,49820.000,242416
2018-08-02,49390.000,49530.000,48740.000,49340.000,253890
2018-08-03,49290.000,49370.000,49050.000,49230.000,158676
2018-08-06,49450.000,49820.000,49100.000,49300.000,208600
2018-08-07,49090.000,49600.000,48970.000,49480.000,164124
2018-08-08,49450.000,49690.000,49360.000,49470.000,99466
2018-08-09,49390.000,49990.000,49300.000,49880.000,104224
2018-08-10,49960.000,50070.000,49410.000,49550.000,90630
2018-08-13,49570.000,49780.000,49480.000,49680.000,75314
2018-08-14,49830.000,49920.000,49330.000,49460.000,78454
2018-08-15,49430.000,49490.000,48200.000,48550.000,121842
2018-08-16,48250.000,48320.000,47210.000,47570.000,137850
2018-08-17,47720.000,48150.000,47560.000,47770.000,102078
2018-08-20,47860.000,48440.000,47850.000,48320.000,91718
2018-08-21,48330.000,48770.000,48330.000,48740.000,66658
2018-08-22,48710.000,48920.000,48160.000,48300.000,63758
2018-08-23,48550.000,48550.000,47940.000,47960.000,64736
2018-08-24,48040.000,48700.000,48040.000,48510.000,56368
2018-08-27,48650.000,48840.000,48530.000,48790.000,48254
2018-08-28,48820.000,48900.000,48440.000,48670.000,47234
2018-08-29,48820.000,49100.000,48770.000,48840.000,47046
2018-08-30,48840.000,48930.000,48610.000,48780.000,36774
2018-08-31,48780.000,48850.000,48340.000,48660.000,44570
2018-09-03,48560.000,48610.000,47950.000,48220.000,32890
2018-09-04,48210.000,48240.000,47830.000,47850.000,26480
2018-09-05,47560.000,47650.000,47200.000,47610.000,30740
2018-09-06,47600.000,47870.000,47570.000,47730.000,21830
2018-09-07,47930.000,48150.000,47610.000,47760.000,22630
2018-09-10,47840.000,48050.000,47640.000,47650.000,35770
2018-09-11,47850.000,48130.000,47740.000,48130.000,29680
2018-09-12,47520.000,48040.000,47450.000,47990.000,25790
2018-09-13,48100.000,48870.000,47940.000,48870.000,17810
2018-09-14,48870.000,49060.000,48690.000,48710.000,10040
2018-09-17,48620.000,48740.000,48230.000,48270.000,6630
