date,price
2017-06-03,4.35
2017-06-02,4.11
2017-06-01,4.11
2017-05-31,4.11
2017-05-30,4.00
2017-05-29,4.00
2017-05-28,4.00
2017-05-27,4.00
2017-05-26,4.00
2017-05-25,4.00
2017-05-24,4.00
2017-05-23,4.00
2017-05-22,4.00
2017-05-21,4.00
2017-05-19,4.00
2017-05-18,4.00
2017-05-16,4.00
2017-05-14,4.00
2017-05-13,4.00
2017-05-12,4.00
2017-05-11,4.00
2017-05-10,4.00
2017-05-09,4.00
2017-05-08,4.45
2017-05-07,4.45
2017-05-06,4.45
2017-05-05,4.33
2017-05-04,4.33
2017-05-03,4.33
2017-05-02,4.33
2017-05-01,4.33
