date,open,high,low,close,vol
2018-01-31,2718.000,2718.000,2718.000,2718.000,2
2018-02-08,2706.000,2706.000,2706.000,2706.000,2
2018-02-12,2666.000,2666.000,2666.000,2666.000,2
2018-02-27,2682.000,2682.000,2669.000,2669.000,4
2018-03-02,2726.000,2726.000,2726.000,2726.000,2
2018-03-27,2579.000,2600.000,2579.000,2600.000,10
2018-04-03,2581.000,2581.000,2581.000,2581.000,2
2018-05-24,2814.000,2838.000,2797.000,2838.000,12
2018-06-19,2836.000,2836.000,2808.000,2820.000,52
2018-06-20,2829.000,2839.000,2824.000,2839.000,12
2018-06-22,2783.000,2783.000,2783.000,2783.000,2
2018-06-26,2756.000,2773.000,2756.000,2773.000,14
2018-06-27,2800.000,2800.000,2800.000,2800.000,14
2018-06-28,2851.000,2853.000,2838.000,2852.000,10
2018-06-29,2884.000,2902.000,2884.000,2902.000,12
2018-07-02,2919.000,2919.000,2919.000,2919.000,2
2018-07-03,2873.000,2894.000,2873.000,2894.000,6
2018-07-04,2885.000,2885.000,2885.000,2885.000,2
2018-07-05,2886.000,2886.000,2886.000,2886.000,2
2018-07-10,2925.000,2925.000,2925.000,2925.000,4
2018-07-11,2936.000,2936.000,2932.000,2932.000,10
2018-07-12,2922.000,2922.000,2922.000,2922.000,8
2018-07-16,2928.000,2928.000,2928.000,2928.000,2
2018-07-17,2912.000,2912.000,2892.000,2892.000,4
2018-07-18,2905.000,2926.000,2905.000,2926.000,4
2018-07-20,2939.000,2957.000,2938.000,2957.000,8
2018-07-23,2967.000,2967.000,2967.000,2967.000,2
2018-07-24,3035.000,3035.000,3035.000,3035.000,2
2018-07-26,2980.000,2980.000,2970.000,2970.000,4
2018-07-27,2998.000,3007.000,2970.000,3007.000,22
2018-07-30,3056.000,3056.000,3056.000,3056.000,2
2018-07-31,3056.000,3056.000,3056.000,3056.000,2
2018-08-03,3174.000,3174.000,3174.000,3174.000,2
2018-08-06,3211.000,3312.000,3211.000,3258.000,20
2018-08-07,3244.000,3291.000,3244.000,3291.000,6
2018-08-08,3333.000,3333.000,3263.000,3269.000,44
2018-08-09,3229.000,3303.000,3210.000,3225.000,68
2018-08-10,3250.000,3312.000,3237.000,3256.000,112
2018-08-13,3240.000,3251.000,3240.000,3248.000,12
2018-08-14,3264.000,3383.000,3264.000,3380.000,34
2018-08-15,3345.000,3345.000,3323.000,3326.000,30
2018-08-16,3328.000,3379.000,3258.000,3328.000,26
2018-08-17,3310.000,3310.000,3310.000,3310.000,2
2018-08-20,3268.000,3318.000,3268.000,3318.000,4
2018-08-22,3398.000,3470.000,3353.000,3420.000,28
2018-08-23,3420.000,3446.000,3308.000,3308.000,30
2018-08-24,3315.000,3335.000,3268.000,3268.000,10
2018-08-30,3250.000,3287.000,3250.000,3263.000,24
2018-09-03,3200.000,3257.000,3200.000,3214.000,26
2018-09-05,3272.000,3272.000,3272.000,3272.000,2
2018-09-07,3323.000,3323.000,3323.000,3323.000,2
2018-09-11,3360.000,3360.000,3349.000,3349.000,12
2018-09-12,3350.000,3350.000,3287.000,3287.000,14
2018-09-13,3279.000,3311.000,3279.000,3311.000,4
2018-09-21,3336.000,3395.000,3336.000,3342.000,12
2018-09-25,3308.000,3316.000,3280.000,3304.000,44
2018-09-27,3228.000,3233.000,3205.000,3205.000,16
2018-09-28,3180.000,3214.000,3180.000,3214.000,6
2018-10-08,3295.000,3295.000,3254.000,3285.000,12
2018-10-09,3323.000,3376.000,3323.000,3376.000,8
2018-10-10,3430.000,3432.000,3430.000,3432.000,6
2018-10-11,3404.000,3404.000,3356.000,3356.000,4
2018-10-15,3438.000,3438.000,3438.000,3438.000,2
2018-10-16,3410.000,3410.000,3375.000,3375.000,4
2018-10-19,3284.000,3405.000,3284.000,3400.000,6
2018-10-22,3400.000,3400.000,3400.000,3400.000,2
2018-10-25,3360.000,3360.000,3271.000,3271.000,4
2018-10-26,3306.000,3392.000,3306.000,3392.000,4
2018-10-29,3297.000,3297.000,3297.000,3297.000,2
2018-11-01,3165.000,3271.000,3165.000,3220.000,6
2018-11-06,3060.000,3237.000,3060.000,3060.000,6
2018-11-07,3247.000,3247.000,2964.000,3098.000,56
2018-11-08,3059.000,3059.000,3059.000,3059.000,2
2018-11-09,3181.000,3181.000,3039.000,3039.000,16
2018-11-12,3000.000,3167.000,2954.000,2970.000,74
2018-11-14,3173.000,3173.000,2906.000,3030.000,22
2018-11-19,2851.000,3037.000,2850.000,2850.000,6
2018-11-20,2820.000,2820.000,2820.000,2820.000,8
