"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年4月18日","3,650.00","3,650.00","3,650.00","3,650.00","-","0.00%"
"2019年4月17日","3,650.00","3,650.00","3,650.00","3,650.00","-","0.00%"
"2019年4月16日","3,650.00","3,650.00","3,650.00","3,650.00","-","-0.14%"
"2019年4月15日","3,655.00","3,655.00","3,655.00","3,655.00","0.01K","5.94%"
"2019年4月12日","3,450.00","3,450.00","3,450.00","3,450.00","-","0.73%"
"2019年4月11日","3,425.00","3,425.00","3,425.00","3,425.00","-","0.00%"
"2019年4月10日","3,425.00","3,425.00","3,425.00","3,425.00","-","0.71%"
"2019年4月9日","3,401.00","3,401.00","3,401.00","3,401.00","-","0.38%"
"2019年4月8日","3,388.00","3,388.00","3,388.00","3,388.00","-","0.00%"
"2019年4月4日","3,388.00","3,388.00","3,388.00","3,388.00","-","0.00%"
"2019年4月3日","3,388.00","3,430.00","3,445.00","3,261.00","0.03K","-1.80%"
"2019年4月2日","3,450.00","3,450.00","3,450.00","3,450.00","-","-0.23%"
"2019年4月1日","3,458.00","3,471.00","3,497.00","3,382.00","0.04K","1.02%"
"2019年3月29日","3,423.00","3,405.00","3,479.00","3,393.00","0.10K","0.06%"
"2019年3月28日","3,421.00","3,419.00","3,439.00","3,418.00","0.08K","-0.06%"
"2019年3月27日","3,423.00","3,445.00","3,445.00","3,406.00","0.09K","3.41%"
"2019年3月26日","3,310.00","3,310.00","3,310.00","3,310.00","-","-2.24%"
"2019年3月25日","3,386.00","3,386.00","3,386.00","3,386.00","-","0.00%"
"2019年3月22日","3,386.00","3,386.00","3,386.00","3,386.00","-","0.00%"
"2019年3月21日","3,386.00","3,350.00","3,400.00","3,350.00","0.02K","2.61%"
"2019年3月20日","3,300.00","3,300.00","3,300.00","3,300.00","-","0.00%"
"2019年3月19日","3,300.00","3,300.00","3,300.00","3,300.00","0.00K","0.86%"
"2019年3月18日","3,272.00","3,268.00","3,279.00","3,268.00","0.01K","5.55%"
"2019年3月15日","3,100.00","3,100.00","3,100.00","3,100.00","-","0.00%"
