date,open,high,low,close,vol
2012-07-06,0.000,4102.000,4102.000,4102.000,0
2012-07-09,0.000,4104.000,4104.000,4104.000,0
2012-07-10,0.000,4070.000,4070.000,4070.000,0
2012-07-11,0.000,4019.000,4019.000,4019.000,0
2012-07-12,0.000,3981.000,3981.000,3981.000,0
2012-07-13,0.000,3970.000,3970.000,3970.000,0
2012-07-16,3970.000,3975.000,3970.000,3970.000,2
2012-07-17,3945.000,3970.000,3945.000,3945.000,4
2012-07-18,0.000,3945.000,3945.000,3945.000,0
2012-07-19,0.000,3939.000,3939.000,3939.000,0
2012-07-20,0.000,3916.000,3916.000,3916.000,0
2012-07-23,0.000,3867.000,3867.000,3867.000,0
2012-07-24,0.000,3788.000,3788.000,3788.000,0
2012-07-25,0.000,3771.000,3771.000,3771.000,0
2012-07-26,3800.000,3800.000,3800.000,3800.000,2
2012-07-27,3803.000,3803.000,3800.000,3803.000,2
2012-07-30,0.000,3803.000,3803.000,3803.000,0
2012-07-31,3789.000,3797.000,3789.000,3789.000,2
2012-08-01,3765.000,3765.000,3752.000,3752.000,4
2012-08-02,0.000,3752.000,3752.000,3752.000,0
2012-08-03,0.000,3714.000,3714.000,3714.000,0
2012-08-06,0.000,3714.000,3714.000,3714.000,0
2012-08-07,3735.000,3750.000,3735.000,3750.000,8
2012-08-08,3742.000,3750.000,3742.000,3742.000,2
2012-08-09,3746.000,3746.000,3746.000,3746.000,4
2012-08-10,3747.000,3775.000,3747.000,3775.000,8
2012-08-13,0.000,3775.000,3775.000,3775.000,0
2012-08-14,3721.000,3746.000,3666.000,3704.000,18
2012-08-15,0.000,3704.000,3704.000,3704.000,0
2012-08-16,0.000,3722.000,3722.000,3722.000,0
2012-08-17,0.000,3722.000,3722.000,3722.000,0
2012-08-20,0.000,3698.000,3698.000,3698.000,0
2012-08-21,0.000,3687.000,3687.000,3687.000,0
2012-08-22,3638.000,3687.000,3638.000,3638.000,2
2012-08-23,0.000,3638.000,3638.000,3638.000,0
2012-08-24,0.000,3599.000,3599.000,3599.000,0
2012-08-27,3582.000,3582.000,3582.000,3582.000,4
2012-08-28,3550.000,3558.000,3534.000,3537.000,40
2012-08-29,3462.000,3537.000,3443.000,3491.000,10
2012-08-30,3538.000,3600.000,3533.000,3600.000,38
2012-08-31,3548.000,3548.000,3519.000,3534.000,30
2012-09-03,3484.000,3529.000,3484.000,3515.000,22
2012-09-04,3429.000,3448.000,3426.000,3426.000,28
2012-09-05,3401.000,3401.000,3355.000,3360.000,34
2012-09-06,3337.000,3404.000,3320.000,3369.000,52
2012-09-07,3407.000,3524.000,3404.000,3512.000,138
2012-09-10,3550.000,3580.000,3481.000,3516.000,78
2012-09-11,3557.000,3557.000,3526.000,3549.000,36
2012-09-12,3544.000,3567.000,3540.000,3540.000,436
2012-09-13,3536.000,3565.000,3445.000,3522.000,184
2012-09-14,3679.000,3679.000,3618.000,3638.000,94
2012-09-17,3628.000,3661.000,3606.000,3645.000,112
2012-09-18,3658.000,3669.000,3658.000,3660.000,86
2012-09-19,3696.000,3696.000,3660.000,3696.000,2
2012-09-20,3717.000,3718.000,3589.000,3601.000,96
2012-09-21,3648.000,3648.000,3536.000,3570.000,14
2012-09-24,3556.000,3635.000,3549.000,3630.000,32
2012-09-25,3650.000,3651.000,3640.000,3640.000,26
2012-09-26,3641.000,3653.000,3622.000,3622.000,18
2012-09-27,3590.000,3634.000,3590.000,3626.000,72
2012-09-28,3626.000,3646.000,3626.000,3646.000,14
2012-10-08,3691.000,3700.000,3685.000,3685.000,34
2012-10-09,3690.000,3717.000,3690.000,3703.000,58
2012-10-10,3718.000,3745.000,3703.000,3734.000,12
2012-10-11,3687.000,3687.000,3675.000,3675.000,6
2012-10-12,3689.000,3689.000,3669.000,3669.000,6
2012-10-15,3645.000,3669.000,3583.000,3583.000,60
2012-10-16,3578.000,3606.000,3566.000,3597.000,132
2012-10-17,3615.000,3662.000,3581.000,3658.000,506
2012-10-18,3675.000,3680.000,3662.000,3680.000,62
2012-10-19,3667.000,3675.000,3641.000,3656.000,156
2012-10-22,3636.000,3730.000,3636.000,3730.000,162
2012-10-23,3734.000,3734.000,3665.000,3678.000,162
2012-10-24,3668.000,3678.000,3668.000,3678.000,28
2012-10-25,3692.000,3698.000,3657.000,3678.000,436
2012-10-26,3680.000,3701.000,3668.000,3694.000,350
2012-10-29,3680.000,3680.000,3634.000,3643.000,40
2012-10-30,3641.000,3650.000,3629.000,3637.000,116
2012-10-31,3635.000,3636.000,3608.000,3632.000,116
2012-11-01,3632.000,3698.000,3632.000,3685.000,288
2012-11-02,3704.000,3704.000,3675.000,3683.000,140
2012-11-05,3671.000,3679.000,3637.000,3649.000,162
2012-11-06,3645.000,3667.000,3645.000,3655.000,38
2012-11-07,3631.000,3661.000,3630.000,3661.000,54
2012-11-08,3634.000,3661.000,3629.000,3649.000,76
2012-11-09,3638.000,3680.000,3634.000,3648.000,62
2012-11-12,3648.000,3677.000,3641.000,3677.000,1116
2012-11-13,3659.000,3675.000,3654.000,3655.000,60
2012-11-14,3642.000,3666.000,3642.000,3655.000,88
2012-11-15,3655.000,3673.000,3643.000,3658.000,392
2012-11-16,3654.000,3664.000,3650.000,3656.000,100
2012-11-19,3638.000,3638.000,3555.000,3564.000,1332
