date,open,high,low,close,vol
2019-11-01,3110.000,3115.000,3100.000,3115.000,27134
2019-11-04,3115.000,3115.000,3103.000,3108.000,20742
2019-11-05,3108.000,3123.000,3101.000,3123.000,27834
2019-11-06,3121.000,3140.000,3118.000,3122.000,35556
2019-11-07,3123.000,3130.000,3104.000,3105.000,29212
2019-11-08,3108.000,3116.000,3101.000,3105.000,33244
2019-11-11,3105.000,3105.000,3078.000,3083.000,74042
2019-11-12,3082.000,3119.000,3080.000,3118.000,50340
2019-11-13,3117.000,3127.000,3112.000,3118.000,34280
2019-11-14,3123.000,3181.000,3112.000,3172.000,110932
2019-11-15,3172.000,3212.000,3169.000,3194.000,65594
2019-11-18,3201.000,3204.000,3159.000,3169.000,75590
2019-11-19,3169.000,3196.000,3143.000,3189.000,116398
2019-11-20,3190.000,3223.000,3186.000,3210.000,95498
2019-11-21,3213.000,3229.000,3197.000,3207.000,79592
2019-11-22,3208.000,3238.000,3197.000,3230.000,77218
2019-11-25,3230.000,3261.000,3210.000,3252.000,111034
2019-11-26,3245.000,3248.000,3203.000,3210.000,126474
2019-11-27,3211.000,3230.000,3180.000,3215.000,78202
2019-11-28,3215.000,3270.000,3206.000,3261.000,131460
2019-11-29,3256.000,3294.000,3250.000,3277.000,140492
2019-12-02,3276.000,3300.000,3255.000,3287.000,131786
2019-12-03,3290.000,3298.000,3261.000,3263.000,72680
2019-12-04,3261.000,3289.000,3239.000,3266.000,98682
2019-12-05,3269.000,3298.000,3258.000,3260.000,101752
2019-12-06,3255.000,3287.000,3245.000,3284.000,91842
2019-12-09,3288.000,3385.000,3280.000,3370.000,223914
2019-12-10,3372.000,3388.000,3354.000,3362.000,116568
2019-12-11,3353.000,3395.000,3353.000,3390.000,105856
2019-12-12,3392.000,3421.000,3363.000,3380.000,138852
2019-12-13,3378.000,3398.000,3361.000,3381.000,121642
2019-12-16,3381.000,3407.000,3340.000,3342.000,201184
2019-12-17,3343.000,3357.000,3325.000,3348.000,91432
2019-12-18,3352.000,3358.000,3332.000,3337.000,86300
2019-12-19,3337.000,3383.000,3328.000,3372.000,123468
2019-12-20,3371.000,3387.000,3354.000,3362.000,91688
2019-12-23,3363.000,3396.000,3363.000,3388.000,114368
2019-12-24,3384.000,3399.000,3359.000,3366.000,96850
2019-12-25,3366.000,3375.000,3342.000,3343.000,75506
2019-12-26,3345.000,3383.000,3330.000,3379.000,115448
2019-12-27,3380.000,3399.000,3373.000,3384.000,122240
2019-12-30,3384.000,3404.000,3375.000,3390.000,100000
2019-12-31,3390.000,3414.000,3381.000,3407.000,164806
2020-01-02,3480.000,3480.000,3380.000,3385.000,75199
2020-01-03,3381.000,3403.000,3381.000,3381.000,45834
2020-01-06,3379.000,3401.000,3360.000,3397.000,63366
2020-01-07,3399.000,3414.000,3396.000,3409.000,42471
2020-01-08,3415.000,3448.000,3409.000,3445.000,69381
2020-01-09,3445.000,3450.000,3390.000,3393.000,67595
2020-01-10,3390.000,3418.000,3390.000,3409.000,45279
2020-01-13,3408.000,3408.000,3378.000,3380.000,60616
2020-01-14,3380.000,3416.000,3370.000,3411.000,54181
2020-01-15,3411.000,3420.000,3385.000,3388.000,50017
2020-01-16,3387.000,3420.000,3385.000,3407.000,83783
2020-01-17,3410.000,3446.000,3407.000,3437.000,55446
2020-01-20,3445.000,3456.000,3427.000,3443.000,56722
2020-01-21,3442.000,3445.000,3401.000,3413.000,60150
2020-01-22,3408.000,3413.000,3363.000,3406.000,106646
2020-01-23,3400.000,3403.000,3355.000,3363.000,82427
2020-02-03,3110.000,3263.000,3106.000,3158.000,390303
2020-02-04,3165.000,3319.000,3152.000,3290.000,399137
2020-02-05,3285.000,3309.000,3272.000,3292.000,284212
2020-02-06,3292.000,3336.000,3278.000,3319.000,310607
2020-02-07,3315.000,3370.000,3311.000,3363.000,209934
2020-02-10,3350.000,3382.000,3340.000,3366.000,250662
2020-02-11,3366.000,3487.000,3363.000,3423.000,448600
2020-02-12,3423.000,3458.000,3414.000,3428.000,238299
2020-02-13,3435.000,3447.000,3420.000,3437.000,191334
2020-02-14,3435.000,3460.000,3424.000,3453.000,208281
2020-02-17,3469.000,3508.000,3448.000,3503.000,296100
2020-02-18,3503.000,3513.000,3460.000,3465.000,301190
2020-02-19,3459.000,3466.000,3437.000,3452.000,294607
2020-02-20,3453.000,3510.000,3453.000,3500.000,417536
2020-02-21,3498.000,3523.000,3486.000,3498.000,328888
2020-02-24,3496.000,3508.000,3457.000,3487.000,349668
2020-02-25,3471.000,3518.000,3459.000,3516.000,358813
2020-02-26,3506.000,3518.000,3479.000,3488.000,284200
2020-02-27,3480.000,3490.000,3461.000,3471.000,242997
2020-02-28,3456.000,3456.000,3381.000,3393.000,494923
